product_id,url,category,ref
60b944e2626ee634ea881f1c,http://azimut.ski/fr/trips/pierrat---stage-d-initiation-face-au-dome-des-ecrins-m---alpinisme,AL,FRALPRIV03
603d2f46360e2c9356403255,http://azimut.ski/fr/trips/chamonix---decouverte-douce-de-la-haute-montagne,AL,FRAL25 ALP076
602148b1360e2c9356d5c228,http://azimut.ski/fr/trips/ascension-du-mont-blanc-avec-preparation---voie-normale-m--6--jours,AL,FRAL22 ALP001
60f6d7cee2f187b2f3aa2874,http://azimut.ski/fr/trips/pelvoux-ailefroide-perfectionnement-alpinisme,AL,FRAL06
60cb9a91e2f187b2f310be39,http://azimut.ski/en/trips/mont-blanc-ascent-with-preparatory-workshop---classic-route----days,AL,FRALPRIV22
60214c3b360e2c9356f06400,http://azimut.ski/fr/trips/ascension-du-mont-blanc-avec-preparation---versant-italien----jours,AL,FRAL31
60ba8ae9e2f187b2f3cc32c8,http://azimut.ski/en/trips/Crossing-over-mountains-Cervin-to-Mt-Rose,AL,ITAL10 ALP077
6027dedc360e2c9356cc7053,http://azimut.ski/fr/trips/du-cervin-au-mt-rose---traversee-alpinisme-4554m,AL,ITAL10 ALP077
60c45089e2f187b2f393444e,http://azimut.ski/en/trips/mont-blanc-ascent-with-preparatory-workshopitalian-side---days,AL,FRAL31
60ba7e48e2f187b2f3955f44,http://azimut.ski/en/trips/grand-paradis--m-alpinism,AL,ITAL01
608a8cef89fe135ad81a746b,http://azimut.ski/fr/trips/balian---objectif-grand-paradis-m---alpinisme,AL,ITALPRIV21
60223b7c360e2c9356276c69,http://azimut.ski/fr/trips/objectif-grand-paradis-4061m,AL,ITAL21 ALP006
602b2494360e2c93565af92c,http://azimut.ski/fr/trips/grand-paradis--m-alpinisme,AL,ITAL01
604f654e360e2c93566e6fea,http://azimut.ski/fr/trips/loyer-abello--ascension-du-mont-blanc-avec-preparation---voie-normale----jours,AL,FRALPRIV21
60b3b71789fe135ad817b779,http://azimut.ski/en/trips/introduction-course-facing-the-dome-des-ecrins--m---mountaineering,AL,FRAL03
60b40b0089fe135ad8a20163,http://azimut.ski/en/trips/mont-rose-4000-alpinisme-italie,AL,ITAL11 ALP011
6021bd9a360e2c9356dd264b,http://azimut.ski/fr/trips/la-vallee-blanche-en-randonnee-glaciaire,AL,FRAL24 ALP074
613628753901fe6ce20962fa,http://azimut.ski/en/trips/explore-share--days-to-monterosa-trip-an-alpine-traverse,AL,ITALPRIV10
612399a3e2f187b2f336547a,http://azimut.ski/en/trips/mont-blanc-ascent-with-preparatory-workshop---classic-route----days,AL,FRALTAV22 ALPS08
602ad2ab360e2c9356c20ba7,http://azimut.ski/en/trips/become-autonom-in-the-mountains-mountaineering,AL,FRAL08
611cd26ae2f187b2f3dd59f9,http://azimut.ski/en/trips/chamonix-discover-high-mountain,AL,FRAL25 ALP076
60222bca360e2c9356d1d4f8,http://azimut.ski/fr/trips/ascension-du-mont-blanc-avec-preparation---voie-normale---4-jours,AL,FRAL21 ALP081
602144c6360e2c9356a26b6c,http://azimut.ski/fr/trips/objectif-les-domes-de-miage,AL,FRAL23  ALP060
6024f3de360e2c935640926b,http://azimut.ski/fr/trips/lehmann---ascension-du-mont-blanc-avec-preparation---voie-normale-m----jours,AL,FRALPRIV22
602288ac360e2c93565780c2,http://azimut.ski/fr/trips/traversee-des-ecrins-randonnee-glaciaire,AL,FRAL02
60a56ef789fe135ad86ad4ff,http://azimut.ski/en/trips/chamonix---zermatt,AL,CHAL12  ALP008
60d8b0e1e2f187b2f326f4c6,http://azimut.ski/en/trips/hiking-the--vallee-blanche--glacier,AL,FRAL24 ALP074
6023fa6a360e2c9356d59b44,http://azimut.ski/fr/trips/haute-maurienne-albaron-alpinisme,AL,FRAL04
6023c3e5360e2c93566605d9,http://azimut.ski/fr/trips/ascension-du-dome-des-ecrins-m,AL,FRAL01 ALP002
60a41d3589fe135ad8d27877,http://azimut.ski/fr/trips/osez-l-autonomie-en-montagne-alpinisme,AL,FRAL08
60a3ddc389fe135ad86be7a6,http://azimut.ski/en/trips/ascension-of-mt-blanc-with-preparatory-workshop-voie-normale-6-days,AL,FRAL22 ALP001
60a3dd6b89fe135ad86b68c3,http://azimut.ski/en/trips/ascension-of-mt-blanc-voie-normale-4-days,AL,FRAL21 ALP081
60a399df89fe135ad8ff0cd8,http://azimut.ski/en/trips/objectif-grand-paradis-4061m,AL,ITAL21 ALP006
60243208360e2c9356c4d7e6,http://azimut.ski/fr/trips/les-4000-du-mont-rose,AL,ITAL11 ALP011
